id,chart_template_id/id,name,description,type,amount,type_tax_use,price_include,include_base_amount,sequence,parent_id/id
gd_taxr_1,gd_chart,Izstopni DDV 0%,DDV-I-0,percent,0,Sale,True,False,1,
gd_taxr_2,gd_chart,Izstopni DDV 8.5%, DDV-I-8.5,percent,8.5,Sale,True,False,1,
gd_taxr_3,gd_chart,Izstopni DDV 20%,DDV-I-20,percent,2,Sale,True,False,1,
gd_taxp_1,gd_chart,Vstopni DDV 0%, DDV-V-0,percent,0,Purchase,True,False,1,
gd_taxp_2,gd_chart,Vstopni DDV 8,5%,percent,8.5,Purchase,FALSE,False,1,
gd_taxp_3,gd_chart,Vstopni DDV 20%,20.00%,percent,2,Purchase,True,False,1,
gd_taxp_nr_1,gd_chart,Vstopni DDV 8,5% - neodbitni ,percent,8.5,Purchase,FALSE,False,1,
gd_taxp_nr_2,gd_chart,Vstopni DDV 20% - neodbitni, DDV-V-20-NE,percent,2,Purchase,True,False,1,
gd_taxp_st_1,gd_chart,Vstopni DDV 8.5% - samoobdavčitev,DDV-V-8.5-SO,percent,0,Purchase,False,False,1,
gd_taxp_st_2,gd_chart,Vstopni DDV 20% - samoobdavčitev,DDV-V-20-SO,percent,0,Purchase,False,False,1,
