id,code_type,tax_amount,debit_credit_amount,apply_on,code_id:id,tax_id:id,account_id:id
ST0_invoice_base_line,base,1000,1000,invoice,5,ST0,
ST0_invoice_tax_line,tax,0,0,invoice,1,ST0,2200
ST0_refund_base_line,base,-1000,1000,refund,5,ST0,
ST0_refund_tax_line,tax,0,0,refund,1,ST0,2200
ST1_invoice_base_line,base,1000,1000,invoice,5,ST1,
ST1_invoice_tax_line,tax,175,175,invoice,1,ST1,2200
ST1_refund_base_line,base,-1000,1000,refund,5,ST1,
ST1_refund_tax_line,tax,-175,175,refund,1,ST1,2200
ST2_invoice_base_line,base,1000,1000,invoice,5,ST2,
ST2_invoice_tax_line,tax,0,0,invoice,1,ST2,2200
ST2_refund_base_line,base,-1000,1000,refund,5,ST2,
ST2_refund_tax_line,tax,0,0,refund,1,ST2,2200
PT0_invoice_base_line,base,1000,1000,invoice,6,PT0,
PT0_invoice_tax_line,tax,0,0,invoice,3,PT0,2201
PT0_refund_base_line,base,-1000,1000,refund,6,PT0,
PT0_refund_tax_line,tax,0,0,refund,3,PT0,2201
PT1_invoice_base_line,base,1000,1000,invoice,6,PT1,
PT1_invoice_tax_line,tax,175,175,invoice,3,PT1,2201
PT1_refund_base_line,base,-1000,1000,refund,6,PT1,
PT1_refund_tax_line,tax,-175,175,refund,3,PT1,2201
PT2_invoice_base_line,base,1000,1000,invoice,6,PT2,
PT2_invoice_tax_line,tax,0,0,invoice,3,PT2,2201
PT2_refund_base_line,base,-1000,1000,refund,6,PT2,
PT2_refund_tax_line,tax,0,0,refund,3,PT2,2201
PT8_invoice_base_line2,base,1000,1000,invoice,8,PT8,
PT8_invoice_tax_line,tax,175,175,invoice,2,PT8,2201
PT8_refund_base_line1,base,-1000,1000,refund,8,PT8,
PT8_refund_base_line2,base,1000,,refund,3,PT8,
PT8_refund_tax_line,tax,-175,175,refund,2,PT8,2201
PT8_invoice_tax_line_1,tax,-175,-175,invoice,3,PT8,2201
PT8_refund_tax_line_2,tax,175,-175,refund,,PT8,2201
PT5_invoice_base_line,base,1000,1000,invoice,6,PT5,
PT5_invoice_tax_line,tax,50,50,invoice,3,PT5,2201
PT5_refund_base_line,base,-1000,1000,refund,6,PT5,
PT5_refund_tax_line,tax,-50,50,refund,3,PT5,2201
ST4_invoice_base_line,base,1000,1000,invoice,7,ST4,
ST4_invoice_tax_line,tax,0,0,invoice,,ST4,2200
ST4_refund_base_line,base,-1000,1000,refund,7,ST4,
ST4_refund_tax_line,tax,0,0,refund,,ST4,2200
PT7_invoice_base_line,base,1000,1000,invoice,8,PT7,
PT7_invoice_tax_line,tax,0,0,invoice,,PT7,2201
PT7_refund_base_line,base,-1000,1000,refund,8,PT7,
PT7_refund_tax_line,tax,0,0,refund,,PT7,2201
ST11_invoice_base_line,base,1000,1000,invoice,5,ST11,
ST11_invoice_tax_line,tax,200,200,invoice,1,ST11,2200
ST11_refund_base_line,base,-1000,1000,refund,5,ST11,
ST11_refund_tax_line,tax,-200,200,refund,1,ST11,2200
PT11_invoice_base_line,base,1000,1000,invoice,6,PT11,
PT11_invoice_tax_line,tax,200,200,invoice,3,PT11,2201
PT11_refund_base_line,base,-1000,1000,refund,6,PT11,
PT11_refund_tax_line,tax,-200,200,refund,3,PT11,2201
