"id","country_id:id","name","code"
state_us_1,us,"Alabama","AL"
state_us_2,us,"Alaska","AK"
state_us_3,us,"Arizona","AZ"
state_us_4,us,"Arkansas","AR"
state_us_5,us,"California","CA"
state_us_6,us,"Colorado","CO"
state_us_7,us,"Connecticut","CT"
state_us_8,us,"Delaware","DE"
state_us_9,us,"District of Columbia","DC"
state_us_10,us,"Florida","FL"
state_us_11,us,"Georgia","GA"
state_us_12,us,"Hawaii","HI"
state_us_13,us,"Idaho","ID"
state_us_14,us,"Illinois","IL"
state_us_15,us,"Indiana","IN"
state_us_16,us,"Iowa","IA"
state_us_17,us,"Kansas","KS"
state_us_18,us,"Kentucky","KY"
state_us_19,us,"Louisiana","LA"
state_us_20,us,"Maine","ME"
state_us_21,us,"Montana","MT"
state_us_22,us,"Nebraska","NE"
state_us_23,us,"Nevada","NV"
state_us_24,us,"New Hampshire","NH"
state_us_25,us,"New Jersey","NJ"
state_us_26,us,"New Mexico","NM"
state_us_27,us,"New York","NY"
state_us_28,us,"North Carolina","NC"
state_us_29,us,"North Dakota","ND"
state_us_30,us,"Ohio","OH"
state_us_31,us,"Oklahoma","OK"
state_us_32,us,"Oregon","OR"
state_us_33,us,"Maryland","MD"
state_us_34,us,"Massachusetts","MA"
state_us_35,us,"Michigan","MI"
state_us_36,us,"Minnesota","MN"
state_us_37,us,"Mississippi","MS"
state_us_38,us,"Missouri","MO"
state_us_39,us,"Pennsylvania","PA"
state_us_40,us,"Rhode Island","RI"
state_us_41,us,"South Carolina","SC"
state_us_42,us,"South Dakota","SD"
state_us_43,us,"Tennessee","TN"
state_us_44,us,"Texas","TX"
state_us_45,us,"Utah","UT"
state_us_46,us,"Vermont","VT"
state_us_47,us,"Virginia","VA"
state_us_48,us,"Washington","WA"
state_us_49,us,"West Virginia","WV"
state_us_50,us,"Wisconsin","WI"
state_us_51,us,"Wyoming","WY"
state_ca_1,ca,"Alberta","AB"
state_ca_2,ca,"British Columbia","BC"
state_ca_3,ca,"Manitoba","MB"
state_ca_4,ca,"New Brunswick","NB"
state_ca_5,ca,"Newfoundland and Labrador","NL"
state_ca_6,ca,"Northwest Territories","NT"
state_ca_7,ca,"Nova Scoti","NS"
state_ca_8,ca,"Nunavut","NU"
state_ca_9,ca,"Ontario","ON"
state_ca_10,ca,"Prince Edward Island","PE"
state_ca_11,ca,"Quebec","QC"
state_ca_12,ca,"Saskatchewan","SK"
state_ca_13,ca,"Yukon","YT"
state_mx_1,mx,"Aguascalientes","AGS"
state_mx_2,mx,"Baja California Norte","BCN"
state_mx_3,mx,"Baja California Sur","BCS"
state_mx_4,mx,"Campeche","CAM"
state_mx_5,mx,"Chiapas","CHIS"
state_mx_6,mx,"Chihuahua","CHIH"
state_mx_7,mx,"Coahuila","COAH"
state_mx_8,mx,"Colima","COL"
state_mx_9,mx,"Distrito Federal","DF"
state_mx_10,mx,"Durango","DGO"
state_mx_11,mx,"Guanajuato","GTO"
state_mx_12,mx,"Guerrero","GRO"
state_mx_13,mx,"Hidalgo","HGO"
state_mx_14,mx,"Jalisco","JAL"
state_mx_15,mx,"México (Estado de)","MEX"
state_mx_16,mx,"Michoacán","MICH"
state_mx_17,mx,"Morelos","MOR"
state_mx_18,mx,"Nayarit","NAY"
state_mx_19,mx,"Nuevo León","NL"
state_mx_20,mx,"Oaxaca","OAX"
state_mx_21,mx,"Puebla","PUE"
state_mx_22,mx,"Querétaro","QRO"
state_mx_23,mx,"Quintana Roo","QROO"
state_mx_24,mx,"San Luis Potosí","SLP"
state_mx_25,mx,"Sinaloa","SIN"
state_mx_26,mx,"Sonora","SON"
state_mx_27,mx,"Tabasco","TAB"
state_mx_28,mx,"Tamaulipas","TAMPS"
state_mx_29,mx,"Tlaxcala","TLAX"
state_mx_30,mx,"Veracruz","VER"
state_mx_31,mx,"Yucatán","YUC"
state_mx_32,mx,"Zacatecas","ZAC"
state_br_1,br,"Acre","AC"
state_br_2,br,"Alagoas","AL"
state_br_3,br,"Amapá","AP"
state_br_4,br,"Amazonas","AM"
state_br_5,br,"Bahía","BA"
state_br_6,br,"Ceará","CE"
state_br_7,br,"Distrito Federal","DF"
state_br_8,br,"Espirito Santo","ES"
state_br_9,br,"Goiás","GO"
state_br_10,br,"Maranhão","MA"
state_br_11,br,"Mato Grosso","MT"
state_br_12,br,"Mato Grosso do Sul","MS"
state_br_13,br,"Minas Geraís","MG"
state_br_14,br,"Paraná","PR"
state_br_15,br,"Paraíba","PB"
state_br_16,br,"Pará","PA"
state_br_17,br,"Pernambuco","PE"
state_br_18,br,"Piauí","PI"
state_br_19,br,"Rio Grande do Norte","RN"
state_br_20,br,"Rio Grande do Sul","RS"
state_br_21,br,"Rio de Janeiro","RJ"
state_br_22,br,"Rondônia","RO"
state_br_23,br,"Roraima","RR"
state_br_24,br,"Santa Catarina","SC"
state_br_25,br,"Sergipe","SE"
state_br_26,br,"São Paulo","SP"
state_br_27,br,"Tocantins","TO"
state_cu_1,cu,"Pinar del Río","PR"
state_cu_2,cu,"Ciego de Ávila","CA"
state_cu_3,cu,"Ciudad de La Habana","CH"
state_cu_4,cu,"Camagüey","CG"
state_cu_5,cu,"La Habana","HA"
state_cu_6,cu,"(Victoria de) Las Tunas","LT"
state_cu_7,cu,"Matanzas","MT"
state_cu_8,cu,"Holguín","HO"
state_cu_9,cu,"Villa Clara","VC"
state_cu_10,cu,"Granma (Bayamo)","GR"
state_cu_11,cu,"Cienfuegos","CF"
state_cu_12,cu,"Santiago de Cuba","SC"
state_cu_13,cu,"Sancti Spíritus","SS"
state_cu_14,cu,"Guantánamo","GT"
state_cu_15,cu,"Municipio Especial Isla de la Juventud","IJ"
state_au_1,au,"Australian Capital Territory","ACT"
state_au_2,au,"New South Wales","NSW"
state_au_3,au,"Northern Territory","NT"
state_au_4,au,"Queensland","QLD"
state_au_5,au,"South Australia","SA"
state_au_6,au,"Tasmania","TAS"
state_au_7,au,"Victoria","VIC"
state_au_8,au,"Western Australia","WA"
state_nl_1,nl,"Drenthe","DR"   
state_nl_2,nl,"Flevoland","FLD"  
state_nl_3,nl,"Friesland","FR"   
state_nl_4,nl,"Gelderland","GLD" 
state_nl_5,nl,"Groningen","GN"   
state_nl_6,nl,"Limburg","LB"   
state_nl_7,nl,"Noord-Brabant","NB"
state_nl_8,nl,"Noord-Holland","NH"
state_nl_9,nl,"Overijssel","OV"   
state_nl_10,nl,"Zuid-Holland","ZH"  
state_nl_11,nl,"Utrecht","UT"   
state_nl_12,nl,"Zeeland","ZLD"  
